CODMES,CODSOLICITUD,TARJETA_RELACIONADA,VEHICULAR_RELACIONADA,HIPOTECARIO_RELACIONADA,FLG_PDH,NUMERO_DE_PAGOS_PDH,SEGMENTOCLIENTE_RECLA_ENC,ZONA_CALLAO,ZONA_CENTRO,ZONA_LA_LIBERTAD,ZONA_LIMA,ZONA_MADRE_DE_DIOS,ZONA_NORTE,ZONA_NO_INFORMADO,ZONA_SUR,ZONA_TACNA,ESTADO_CIVIL_TM,ESTADO_CIVIL_CAS,ESTADO_CIVIL_CBS,ESTADO_CIVIL_CON,ESTADO_CIVIL_NO_INFORMADO,ESTADO_CIVIL_SEP,ESTADO_CIVIL_SOL,ESTADO_CIVIL_VIU,ATRASO_MAXIMO_ULT_24M_TCS_TM,MEDIANA_AHORROS_ULT_6M_TCS_TM,DEUDA_TOTAL_SISTEMA_TCS_TM,CLASIF_SISTEMA_ULT_12M_TM,MONTO_DEUDA_TC_SISTEMA_TCS,INGRESO_DECLARADO_CLIENTE_TCS_TM,EDAD_T_TCS_TM,FLG_DEFAULT_12M
201309,3558,1,0,0,1,24,0,0,0,0,1,0,0,0,0,0,SOL,0,0,0,0,0,1,0,8.0,6581.23,3004.05,0.0,3004.05,1343.129194,36.0,0
201309,3559,1,0,0,1,24,1,1,0,0,0,0,0,0,0,0,SEP,0,0,0,0,1,0,0,8.0,18925.7,36860.81,1.0,9519.397500000001,5290.287217,54.0,0
201309,3560,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,SOL,0,0,0,0,0,1,0,8.0,18925.7,6619.48,0.0,0.0,3346.079468,29.0,0
201309,3561,1,0,0,1,3,1,0,0,0,0,0,0,1,0,0,NO_INFORMADO,0,0,0,1,0,0,0,8.0,4908.32,13365.41,1.0,3110.22,2963.467652759518,36.75091186418197,0
201309,3562,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,CAS,1,0,0,0,0,0,0,8.0,5724.81,48636.71,0.0,9519.397500000001,3522.583042,52.0,0
201309,3563,1,0,0,1,24,0,0,0,0,0,0,0,0,1,0,CAS,1,0,0,0,0,0,0,8.0,8147.67,2002.76,3.0,270.0,2792.828019,42.0,0
201309,3564,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,SOL,0,0,0,0,0,1,0,8.0,18925.7,48636.71,0.0,0.0,6696.8683588,47.0,0
201309,3565,1,0,0,1,6,0,0,0,0,0,0,0,0,1,0,SOL,0,0,0,0,0,1,0,8.0,3469.45,18372.27,0.0,9519.397500000001,1827.578038,34.0,0
201309,3566,1,0,0,1,5,0,0,0,0,0,0,0,0,1,0,SOL,0,0,0,0,0,1,0,2.0,549.81,11407.92,0.0,0.0,1899.680769,29.0,0
201309,3567,1,0,0,1,24,0,0,0,0,1,0,0,0,0,0,SOL,0,0,0,0,0,1,0,0.0,5279.1,20390.53,0.0,2989.32,2349.446888,48.0,0
