CODMES;CODSOLICITUD;SEGMENTOCLIENTE;TARJETA_RELACIONADA;VEHICULAR_RELACIONADA;HIPOTECARIO_RELACIONADA;ATRASO_MAXIMO_ULT_24M;MESES_AHORROS_ULT_6M;MEDIANA_AHORROS_ULT_6M;DEUDA_TOTAL_SISTEMA;CLASIF_SISTEMA_ULT_12M;FLG_PDH;NUMERO_DE_PAGOS_PDH;MONTO_DEUDA_TC_SISTEMA;INGRESO_DECLARADO_CLIENTE;ZONA_DEL_DESEMBOLSO;ESTADO_CIVIL;EDAD_T;LINEA_DE_TC_SISTEMA;FLG_DEFAULT_12M
201310;5020;CLIENTES ORO;1;0;0;5;;529.28;33862.11;1;1;11;27901.97;1826.175652;LA_LIBERTAD;SOL;31;15000;0
201310;5021;CLIENTES ORO;0;0;0;5;;6733.18;;;0;0;0;1646.94693;CUZCO;SOL;38;7840;1
201310;5022;CLIENTES ORO;1;0;0;5;;9792.51;23240.65;0;1;24;9666.03;3147.289128;LIMA_NORTE;CAS;34;8630;0
201310;5023;CLIENTES ORO;0;0;0;5;;664.4;1211.12;0;1;18;0;1552.67965;AREQUIPA;SOL;28;5476;0
201310;5024;CLIENTES ORO;0;0;0;48;;1545;;2;1;7;0;1632.015699;LIMA_ESTE;SOL;25;7329;0
201310;5025;CLIENTES ORO;1;0;0;5;;947.83;16500.82;1;1;24;3330.43;3346.001038;LA_LIBERTAD;SOL;33;15090;0
201310;5026;CLIENTES ORO;0;0;0;5;;1748.65;1797.01;0;1;18;0;1931.033517;AREQUIPA;SOL;30;18391;0
201310;5027;CLIENTES ORO;1;0;0;5;;8979.29;513.61;0;1;3;513.61;2008.59405;AREQUIPA;SOL;29;6700;1
201310;5028;CLIENTES ORO;1;0;0;5;;1188.27;3052.18;0;1;18;0;1817.574403;CUZCO;SOL;31;3000;0
201310;5029;CLIENTES ORO;0;0;0;5;;8814.49;8000;3;1;24;0;2737.913519;;;;;0
201310;5030;CLIENTES PLATINUM SEGM 2;0;0;0;1;;5786.08;41482.83;0;0;1;1850.64;6920.16017;LIMA_MODERNA;SOL;49;18943;1
201310;5031;CLIENTES ORO;0;0;0;5;;535.37;;;1;20;0;1286.903101;CAJAMARCA;SOL;33;11876;0
201310;5032;CLIENTES ORO;1;0;0;5;;2663.21;76.72;0;1;12;76.72;1854.151672;CUZCO;CON;37;13600;0
201310;5033;CLIENTES PLATINUM SEGM 2;0;0;0;5;;2634.49;36762.36;3;0;1;0;3126.434886;LIMA_ESTE;SOL;61;20210;0
201310;5034;CLIENTES ORO;0;0;0;5;;2087.97;716.92;0;1;24;716.92;1416.23142;LIMA_PROV;SOL;26;22130;0
201310;5035;CLIENTES ORO;1;0;0;5;;1460.17;0;0;1;18;0;1397.778472;LIMA_NORTE;SOL;23;2500;0
201310;5036;CLIENTES PLATINUM SEGM 2;1;0;0;5;;22715.13;225309.98;0;1;24;1632.71;8125.419741;LIMA_CENTRO;SOL;30;13460;0
201310;5037;CLIENTES ORO;1;0;0;5;;1068.07;2142.05;0;1;13;0;1176.11279;LA_LIBERTAD;SOL;24;900;1
201310;5038;CLIENTES PLATINUM SEGM 2;0;0;0;5;;20474;;;0;1;0;4259.774988;LIMA_CENTRO;CAS;43;6081;0
201310;5039;CLIENTES ORO;1;0;0;5;;1270.7;7345.08;0;1;24;0;3132.651595;LIMA_NORTE;SOL;32;30200;0
201310;5040;CLIENTES ORO;0;0;0;5;;924.87;0;1;1;24;0;1998.093868;AREQUIPA;SOL;40;21500;0
201310;5041;CLIENTES ORO;0;0;0;5;;11852.06;;;1;24;0;1870.6757;ANCASH;SOL;46;14372;0
201310;5042;CLIENTES PLATINUM SEGM 2;0;0;0;5;;2296.8;3642.95;0;1;17;0;2316.173806;APURIMAC;SOL;49;20875;0
201310;5043;CLIENTES ORO;0;0;0;5;;8814.49;767.27;1;0;0;767.27;2301.589584;LIMA_SUR;SOL;41;7215;0
201310;5044;CLIENTES ORO;0;0;0;5;;1515.86;0;0;1;24;0;2270.447122;LIMA_NORTE;SOL;30;7476;0
201310;5045;CLIENTES ORO;0;0;0;5;;151.08;11047.27;0;0;0;1192.41;1192.754027;CALLAO;SOL;27;3398;0
201310;5046;CLIENTES ORO;1;0;0;5;;7521.77;0;0;1;24;0;1537.535241;ICA;SOL;43;2700;0
201310;5047;CLIENTES ORO;1;0;1;21;;16776;164945.39;1;1;24;3160.66;8361.027144;LIMA_NORTE;SOL;42;30000;0
201310;5048;CLIENTES ORO;1;0;0;5;;213.6;69346.49;0;1;24;0;2449.034832;LIMA_CENTRO;CAS;62;3000;0
201310;5049;CLIENTES PLATINUM SEGM 2;1;0;0;5;;10882.75;16875.87;0;1;24;0;3406.453154;MOQUEGUA;CAS;33;6550;0
201310;5050;CLIENTES ORO;1;0;0;5;;1380.12;9292.27;0;1;23;0;1817.12536;HUANUCO;SOL;32;2250;0
201310;5051;CLIENTES ORO;0;0;0;5;;12403.44;14068.4;0;1;24;119.76;3596.389555;LIMA_ESTE;SOL;31;18725;0
201310;5052;CLIENTES ORO;0;0;0;5;;11021.01;;;1;24;0;3004.890958;LIMA_SUR;CAS;43;7456;0
201310;5053;CLIENTES PLATINUM SEGM 2;1;0;0;5;;1849.44;61704.36;0;1;6;3093.58;3236.908416;AREQUIPA;SOL;31;5400;0
201310;5054;CLIENTES ORO;1;0;0;5;;2897.17;33782.64;1;1;24;30200.94;2557.966258;ICA;CAS;27;13000;0
201310;5055;CLIENTES ORO;0;0;0;5;;4377.91;;;1;24;0;1329.370261;LIMA_NORTE;SOL;35;1910;0
201310;5056;CLIENTES ORO;0;0;0;5;;3440.42;4975.36;0;1;22;2724.98;1806.089076;ICA;SOL;51;3951;0
201310;5057;CLIENTES ORO;1;0;0;5;;1418.65;13627.5;0;1;24;0;2191.225696;CALLAO;CAS;63;14200;0
201310;5058;CLIENTES ORO;1;0;0;1;;5732.86;772.64;0;1;24;227.8;2573.528792;LAMBAYEQUE;SOL;29;12650;0
201310;5059;CLIENTES ORO;0;0;0;5;;4187.95;6686.52;4;1;24;0;2138.985626;LIMA_NORTE;CAS;39;22742;0
201310;5060;CLIENTES ORO;1;0;0;2;;4046.35;2954.34;0;1;24;31.59;1432.355003;LA_LIBERTAD;SOL;29;7300;0
201310;5061;CLIENTES ORO;1;0;0;5;;8814.49;0;0;1;24;0;2018.529881;LIMA_SUR;CAS;59;8000;0
201310;5062;CLIENTES ORO;0;0;0;2;;127.48;;0;1;24;0;1257.869262;LIMA_ESTE;SOL;27;8373;0
201310;5063;CLIENTES ORO;1;0;0;5;;8814.49;0;1;1;24;0;2591.328913;JUNIN;SOL;34;5300;0
